Rinkimai,Rinkimų rūšis,Rinkimų data,Apygardos Nr.,Apygardos pavadinimas,Kandidatų sąrašo Nr.,Kandidatų sąrašo pavadinimas,Kandidato Nr. sąraše,Kandidato vardas,Kandidato pavardė,Kandidato lytis,Kandidatą iškėlusi organizacija,Ar išrinktas?,Kiek kartų dalyvavo daugiamandatėje apygardoje,Kiek kartų dalyvavo vienmandatėje apygardoje,"Kiek kartų buvo
 išrinktas",Kada buvo išrinktas pirmą kartą,Kada buvo išrinktas paskutinį kartą
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,15,Krikščionių sąjunga,,ARVYDAS,AKSTINAVIČIUS,Vyras,Krikščionių sąjunga,Neišrinktas,1,7,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,12,Lietuvos Respublikos liberalų sąjūdis,,VIKTORIJA,ČMILYTĖ-NIELSEN,Moteris,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,1,3,2,2015-04-21,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,8,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,,KRISTINA,DZERŽINSKA,Moteris,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,6,Centro partija - tautininkai,,SAKALAS,GORODECKIS,Vyras,Centro partija - tautininkai,Neišrinktas,2,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,16,Darbo partija,,RASA,IVANAUSKIENĖ,Moteris,Darbo partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,13,Lietuvos valstiečių ir žaliųjų sąjunga,,VITALIJA,JANKAUSKAITĖ-MILČIUVIENĖ,Moteris,Lietuvos valstiečių ir žaliųjų sąjunga,Neišrinktas,0,3,1,2019-04-25,2019-04-25
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,,Politinė partija „Lietuvos sąrašas“,,DARIUS,KUOLYS,Vyras,Politinė partija „Lietuvos sąrašas“,Neišrinktas,2,2,1,2015-03-22,2015-03-22
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,14,Lietuvos žaliųjų partija,,INGA,LAURUŠONĖ,Moteris,Lietuvos žaliųjų partija,Neišrinktas,1,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,MYKOLAS,MAJAUSKAS,Vyras,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,0,3,2,2015-03-22,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,11,Partija LIETUVA – VISŲ,,ANDRIUS,NIKITINAS,Vyras,Partija LIETUVA – VISŲ,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,7,Nacionalinis susivienijimas,,ROBERTAS,RAMANAUSKAS,Vyras,Nacionalinis susivienijimas,Neišrinktas,1,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,2,Partija „Laisvė ir teisingumas“,,DIANA,STOMIENĖ,Moteris,Partija „Laisvė ir teisingumas“,Neišrinktas,1,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,17,Lietuvos socialdemokratų partija,,DOVILĖ,ŠAKALIENĖ,Moteris,Lietuvos socialdemokratų partija,Neišrinktas,1,2,1,2016-11-14,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,3,Laisvės partija,,VYTENIS,ŠKARNULIS,Vyras,Laisvės partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,1,Senamiesčio-Žvėryno,9,Lietuvos socialdemokratų darbo partija,,ZENONAS,VAIGAUSKAS,Vyras,Lietuvos socialdemokratų darbo partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,12,Lietuvos Respublikos liberalų sąjūdis,,VIRGILIJUS,ALEKNA,Vyras,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,0,2,1,2016-11-14,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,6,Centro partija - tautininkai,,ASTRA GENOVAITĖ,ASTRAUSKAITĖ,Moteris,Centro partija - tautininkai,Neišrinktas,2,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,11,Partija LIETUVA – VISŲ,,ADAS,DARINSKAS,Vyras,Partija LIETUVA – VISŲ,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,8,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,,DMITRIJ,IKONIKOV,Vyras,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Neišrinktas,0,4,2,2015-03-22,2019-04-18
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,16,Darbo partija,,IEVA,KAČINSKAITĖ-URBONIENĖ,Moteris,Darbo partija,Neišrinktas,5,2,2,2011-02-27,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,2,Partija „Laisvė ir teisingumas“,,RITA,LATVYTĖ,Moteris,Partija „Laisvė ir teisingumas“,Neišrinktas,7,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,9,Lietuvos socialdemokratų darbo partija,,VIDA,MARTIŠIENĖ,Moteris,Lietuvos socialdemokratų darbo partija,Neišrinktas,2,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,14,Lietuvos žaliųjų partija,,ARTŪRAS,MELIANAS,Vyras,Lietuvos žaliųjų partija,Neišrinktas,8,11,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,ŽYGIMANTAS,PAVILIONIS,Vyras,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,0,2,1,2016-11-14,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,3,Laisvės partija,,TOMAS VYTAUTAS,RASKEVIČIUS,Vyras,Laisvės partija,Neišrinktas,1,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,13,Lietuvos valstiečių ir žaliųjų sąjunga,,TOMAS,SEIKALIS,Vyras,Lietuvos valstiečių ir žaliųjų sąjunga,Neišrinktas,1,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,15,Krikščionių sąjunga,,GARRI,SERBUL,Vyras,Krikščionių sąjunga,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,2,Naujamiesčio–Naujininkų,17,Lietuvos socialdemokratų partija,,ANTANAS,VALIONIS,Vyras,Lietuvos socialdemokratų partija,Neišrinktas,5,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,3,Laisvės partija,,KASPARAS,ADOMAITIS,Vyras,Laisvės partija,Neišrinktas,3,1,2,2015-11-11,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,8,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,,TADEUŠ,ANDŽEJEVSKI,Vyras,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Neišrinktas,8,5,4,2007-03-04,2019-04-17
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,11,Partija LIETUVA – VISŲ,,VIKTORAS,GERULAITIS,Vyras,Partija LIETUVA – VISŲ,Neišrinktas,3,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,17,Lietuvos socialdemokratų partija,,LIUTAURAS,GUDŽINSKAS,Vyras,Lietuvos socialdemokratų partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,2,Partija „Laisvė ir teisingumas“,,VYTAUTAS,KAŠĖTA,Vyras,Partija „Laisvė ir teisingumas“,Neišrinktas,3,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,14,Lietuvos žaliųjų partija,,SVETLANA,KAUZONIENĖ,Moteris,Lietuvos žaliųjų partija,Neišrinktas,3,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,4,Lietuvos liaudies partija,,EUGENIJUS,PALIOKAS,Vyras,Lietuvos liaudies partija,Neišrinktas,0,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,7,Nacionalinis susivienijimas,,VYTAUTAS,RADŽVILAS,Vyras,Nacionalinis susivienijimas,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,9,Lietuvos socialdemokratų darbo partija,,ROLANDAS,SAKALAUSKAS,Vyras,Lietuvos socialdemokratų darbo partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,15,Krikščionių sąjunga,,RASA,STULPINIENĖ,Moteris,Krikščionių sąjunga,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,INGRIDA,ŠIMONYTĖ,Moteris,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,1,2,1,2016-11-14,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,12,Lietuvos Respublikos liberalų sąjūdis,,VYTAUTAS,TAMOŠIŪNAS,Vyras,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,16,Darbo partija,,EDMUNDAS,VAITEKŪNAS,Vyras,Darbo partija,Neišrinktas,2,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,3,Antakalnio,13,Lietuvos valstiečių ir žaliųjų sąjunga,,TAURIMAS,VALYS,Vyras,Lietuvos valstiečių ir žaliųjų sąjunga,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,1,„Drąsos kelias“ politinė partija,,ARVYDAS,BALČIUS,Vyras,„Drąsos kelias“ politinė partija,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,2,Partija „Laisvė ir teisingumas“,,EGLĖ,ČAPLIKIENĖ,Moteris,Partija „Laisvė ir teisingumas“,Neišrinktas,1,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,13,Lietuvos valstiečių ir žaliųjų sąjunga,,VILMA,GALDIKĖ,Moteris,Lietuvos valstiečių ir žaliųjų sąjunga,Neišrinktas,1,3,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,6,Centro partija - tautininkai,,POVILAS,GYLYS,Vyras,Centro partija - tautininkai,Neišrinktas,1,4,1,2012-11-16,2012-11-16
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,12,Lietuvos Respublikos liberalų sąjūdis,,KĘSTUTIS,GLAVECKAS,Vyras,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,3,7,2,2012-11-16,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,11,Partija LIETUVA – VISŲ,,RŪTA,JANUTIENĖ,Moteris,Partija LIETUVA – VISŲ,Neišrinktas,0,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,14,Lietuvos žaliųjų partija,,JONAS,JUODKA,Vyras,Lietuvos žaliųjų partija,Neišrinktas,6,4,2,2007-03-04,2011-04-08
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,PAULĖ,KUZMICKIENĖ,Moteris,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,3,2,4,2011-02-27,2019-09-26
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,15,Krikščionių sąjunga,,SIGITAS,LUNKUS,Vyras,Krikščionių sąjunga,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,8,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,,DANUTA,NARBUT,Moteris,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Neišrinktas,5,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,3,Laisvės partija,,MONIKA,OŠMIANSKIENĖ,Moteris,Laisvės partija,Neišrinktas,1,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,17,Lietuvos socialdemokratų partija,,SAULIUS,SONDECKIS,Vyras,Lietuvos socialdemokratų partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,7,Nacionalinis susivienijimas,,ALMANTAS,STANKŪNAS,Vyras,Nacionalinis susivienijimas,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,9,Lietuvos socialdemokratų darbo partija,,VALDAS,TUTKUS,Vyras,Lietuvos socialdemokratų darbo partija,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,4,Žirmūnų,16,Darbo partija,,DARIUS,ULICKAS,Vyras,Darbo partija,Neišrinktas,7,6,5,2007-03-04,2019-04-15
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,7,Nacionalinis susivienijimas,,GAUDENTAS,AUKŠTIKALNIS,Vyras,Nacionalinis susivienijimas,Neišrinktas,3,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,11,Partija LIETUVA – VISŲ,,STEPONAS,BABRAUSKAS,Vyras,Partija LIETUVA – VISŲ,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,13,Lietuvos valstiečių ir žaliųjų sąjunga,,LAIMIS,BIKAUSKAS,Vyras,Lietuvos valstiečių ir žaliųjų sąjunga,Neišrinktas,1,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,17,Lietuvos socialdemokratų partija,,ALFONSAS,BRAZAS,Vyras,Lietuvos socialdemokratų partija,Neišrinktas,3,3,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,14,Lietuvos žaliųjų partija,,IEVA,BUDRAITĖ,Moteris,Lietuvos žaliųjų partija,Neišrinktas,2,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,6,Centro partija - tautininkai,,RIČARDAS,GARUOLIS,Vyras,Centro partija - tautininkai,Neišrinktas,12,2,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,AISTĖ,GEDVILIENĖ,Moteris,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,2,2,2,2015-03-01,2019-07-09
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,9,Lietuvos socialdemokratų darbo partija,,GEDIMINAS,KIRKILAS,Vyras,Lietuvos socialdemokratų darbo partija,Neišrinktas,7,6,3,2008-10-12,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,15,Krikščionių sąjunga,,LAURYNAS JUOZAS,LIUTKUS,Vyras,Krikščionių sąjunga,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,16,Darbo partija,,ANDRIUS,MAZURONIS,Vyras,Darbo partija,Neišrinktas,3,5,2,2008-10-12,2012-11-16
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,12,Lietuvos Respublikos liberalų sąjūdis,,ALEKSEJ,PERSIJANOV,Vyras,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,,Išsikėlė pats,,VYGANTAS,PUNDZEVIČIUS,Vyras,Išsikėlė pats,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,8,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,,MIROSLAV,ROMANOVSKI,Vyras,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Neišrinktas,4,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,2,Partija „Laisvė ir teisingumas“,,VYDŪNAS,SADAUSKAS,Vyras,Partija „Laisvė ir teisingumas“,Neišrinktas,2,4,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,5,Fabijoniškių,3,Laisvės partija,,ARTŪRAS,ŽUKAUSKAS,Vyras,Laisvės partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,15,Krikščionių sąjunga,,SAULĖ SALVIJA,BABRAUSKAITĖ,Moteris,Krikščionių sąjunga,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,4,Lietuvos liaudies partija,,VYTAUTAS,BERNATONIS,Vyras,Lietuvos liaudies partija,Neišrinktas,2,5,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,17,Lietuvos socialdemokratų partija,,RASA,BUDBERGYTĖ,Moteris,Lietuvos socialdemokratų partija,Neišrinktas,1,2,1,2016-11-14,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,3,Laisvės partija,,MORGANA,DANIELĖ,Moteris,Laisvės partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,16,Darbo partija,,AIDAS,GEDVILAS,Vyras,Darbo partija,Neišrinktas,7,2,2,2011-02-27,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,11,Partija LIETUVA – VISŲ,,ARTŪRAS,JOMANTAS,Vyras,Partija LIETUVA – VISŲ,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,MINDAUGAS,LINGĖ,Vyras,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,8,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,,ZBIGNIEV,MACIEJEVSKI,Vyras,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Neišrinktas,6,3,4,2008-11-14,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,14,Lietuvos žaliųjų partija,,JŪRATĖ,MAŽEIKYTĖ,Moteris,Lietuvos žaliųjų partija,Neišrinktas,5,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,9,Lietuvos socialdemokratų darbo partija,,EGIDIJUS,OSINOVSKAS,Vyras,Lietuvos socialdemokratų darbo partija,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,12,Lietuvos Respublikos liberalų sąjūdis,,EVELINA,PAULAVIČIENĖ,Moteris,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,2,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,13,Lietuvos valstiečių ir žaliųjų sąjunga,,LUKAS,SAVICKAS,Vyras,Lietuvos valstiečių ir žaliųjų sąjunga,Neišrinktas,1,1,1,2019-04-24,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,6,Šeškinės-Šnipiškių,2,Partija „Laisvė ir teisingumas“,,ARTŪRAS,ZUOKAS,Vyras,Partija „Laisvė ir teisingumas“,Neišrinktas,9,6,5,2007-03-04,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,9,Lietuvos socialdemokratų darbo partija,,JUOZAS,BERNATONIS,Vyras,Lietuvos socialdemokratų darbo partija,Neišrinktas,6,4,2,2012-11-16,2016-11-14
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,15,Krikščionių sąjunga,,PETRAS,BUIVYDAS,Vyras,Krikščionių sąjunga,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,7,Nacionalinis susivienijimas,,ERIKAS,ČERNAUSKAS,Vyras,Nacionalinis susivienijimas,Neišrinktas,0,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,16,Darbo partija,,JOLANTA,GAUDUTIENĖ,Moteris,Darbo partija,Neišrinktas,4,2,2,2011-02-27,2019-04-24
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,17,Lietuvos socialdemokratų partija,,VALENTIN,GAVRILOV,Vyras,Lietuvos socialdemokratų partija,Neišrinktas,3,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,3,Laisvės partija,,BRIGITA,GUOBĖ,Moteris,Laisvės partija,Neišrinktas,1,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,14,Lietuvos žaliųjų partija,,LAURYNAS,OKOCKIS,Vyras,Lietuvos žaliųjų partija,Neišrinktas,4,4,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,12,Lietuvos Respublikos liberalų sąjūdis,,ORINTA,OMELYTĖ,Moteris,Lietuvos Respublikos liberalų sąjūdis,Neišrinktas,2,1,0,,
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai,Seimo rinkimai,2020-10-11,7,Justiniškių-Viršuliškių,5,Tėvynės sąjunga – Lietuvos krikščionys demokratai,,PAULIUS,SAUDARGAS,Vyras,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Neišrinktas,2,5,2,2012-11-16,2016-11-14
